utc,x_TLE,y_TLE,z_TLE
2020-03-01 16:54:59.986,10810.141010235304,-12523.821368311847,-21286.861112939714
2020-03-01 16:59:59.986,11717.308024754433,-11830.052789208432,-21210.552648868405
2020-03-01 17:04:59.986,12603.04458653672,-11114.647313074141,-21095.44312969764
2020-03-01 17:09:59.986,13465.742800194652,-10378.92411873144,-20941.76343097341
2020-03-01 17:14:59.986,14303.836457516942,-9624.236503757962,-20749.811409422804
2020-03-01 17:19:59.986,15115.803421508057,-8851.969698737421,-20519.95131512313
2020-03-01 17:24:59.986,15900.1679484529,-8063.538650380721,-20252.613124987292
2020-03-01 17:29:59.986,16655.502947487315,-7260.3857747616275,-19948.291798514292
2020-03-01 17:34:59.986,17380.432177097933,-6443.978681809559,-19607.54645660308
2020-03-01 17:39:59.986,18073.63237789595,-5615.807872117877,-19230.99948408063
2020-03-01 17:44:59.986,18733.83534091588,-4777.384407056588,-18819.335556452257
2020-03-01 17:49:59.986,19359.829910579607,-3930.237553126787,-18373.300591246316
2020-03-01 17:54:59.986,19950.463921338807,-3075.912401461502,-17893.700624196943
2020-03-01 17:59:59.986,20504.646066870693,-2215.967463360161,-17381.40061038938
2020-03-01 18:04:59.986,21021.34770054835,-1351.9722427479007,-16837.323150383687
2020-03-01 18:09:59.986,21499.604565745365,-485.50478647148026,-16262.447141236631
2020-03-01 18:14:59.986,21938.518454360004,381.8507866162165,-15657.806352256683
2020-03-01 18:19:59.986,22337.25879176658,1248.5067767714493,-15024.487925260448
2020-03-01 18:24:59.986,22695.06414621248,2112.874413586244,-14363.63079904317
2020-03-01 18:29:59.986,23011.243660490254,2973.366384140352,-13676.424057740638
2020-03-01 18:34:59.986,23285.178403520084,3828.399377777277,-12964.105202741888
2020-03-01 18:39:59.986,23516.322639282633,4676.396646068391,-12227.958347812117
2020-03-01 18:44:59.986,23704.205010350153,5515.790576380009,-11469.312337104682
2020-03-01 18:49:59.986,23848.429633072872,6345.025277284572,-10689.538785785688
2020-03-01 18:54:59.986,23948.67710129206,7162.559173874521,-9890.050043055347
2020-03-01 18:59:59.986,24004.705395273842,7966.86761083209,-9072.297077438086
2020-03-01 19:04:59.986,24016.350692388936,8756.445460891922,-8237.767284322184
2020-03-01 19:09:59.986,23983.528075907674,9529.80973609987,-7387.982215863933
2020-03-01 19:14:59.986,23906.232138134692,10285.502199024502,-6524.49523352982
2020-03-01 19:19:59.986,23784.537473983466,11022.091970824096,-5648.88908372935
2020-03-01 19:24:59.986,23618.599060982204,11738.178132796973,-4762.773397206093
2020-03-01 19:29:59.986,23408.652521615164,12432.392317772556,-3867.782113078481
2020-03-01 19:34:59.985,23155.014263841742,13103.401287401735,-2965.570828719564
2020-03-01 19:39:59.985,22858.081495593855,13749.909491179607,-2057.814076721058
2020-03-01 19:44:59.985,22518.332109056242,14370.661602550788,-1146.2025311494524
2020-03-01 19:49:59.985,22136.32443053154,14964.445027478097,-232.44014455496944
2020-03-01 19:54:59.985,21712.696831772275,15530.092380227261,681.7587813893642
2020-03-01 19:59:59.985,21248.16719873332,16066.483921040077,1594.6725890007963
2020-03-01 20:04:59.985,20743.532253831054,16572.54995001484,2504.5753182310477
2020-03-01 20:09:59.985,20199.66672795859,17047.273151251495,3409.7398172405324
2020-03-01 20:14:59.985,19617.522378710477,17489.69088105947,4308.440905874138
2020-03-01 20:19:59.985,18998.126851518085,17898.897393782416,5198.958587568407
2020-03-01 20:24:59.985,18342.582380685195,18274.04599856979,6079.581304769458
2020-03-01 20:29:59.985,17652.06432764651,18614.35114022203,6948.609232479692
2020-03-01 20:34:59.985,16927.81955415143,18919.090397058815,7804.357604083776
2020-03-01 20:39:59.985,16171.164628493652,19187.606388613676,8645.160063142488
2020-03-01 20:44:59.985,15383.483863378704,19419.308585838815,9469.3720343692
2020-03-01 20:49:59.985,14566.227184528232,19613.675016425772,10275.37410654997
2020-03-01 20:54:59.985,13720.907829675205,19770.25385780422,11061.575419714374
2020-03-01 20:59:59.985,12849.099878199355,19888.66491037899,11826.417048426792
2020-03-01 21:04:59.985,11952.435612285182,19968.600943610447,12568.375372651393
2020-03-01 21:09:59.985,11032.602711158284,20009.828907631632,13285.965427246021
2020-03-01 21:14:59.985,10091.34128065923,20012.191003235304,13977.744220773518
2020-03-01 21:19:59.985,9130.440721153029,19975.605603253454,14642.314013980773
2020-03-01 21:24:59.985,8151.736437532869,19900.068018595262,15278.325547998309
2020-03-01 21:29:59.985,7157.10639586392,19785.65110250589,15884.481212053499
2020-03-01 21:34:59.985,6148.467532015189,19632.50568695921,16459.538140277855
2020-03-01 21:39:59.985,5127.772018441774,19440.860845505926,17002.31122702795
